geko_category_id,name,path,parent_geko_category_id
107858,Disc Brushes With Crimped Wire,Abrasive Materials\Brushes\Disc Brushes With Crimped Wire,
107857,Disc Brushes With Braided Wire,Abrasive Materials\Brushes\Disc Brushes With Braided Wire,
107859,Brush Brushes,Abrasive Materials\Brushes\Brush Brushes,
107863,Nylon Brushes,Abrasive Materials\Brushes\Nylon Brushes,
107862,Wire Brushes,Abrasive Materials\Brushes\Wire Brushes,
105315,Mass Squeezers,Joining Tools\Mass Squeezers,
107763,Agitators,Construction and Renovation\Agitators,
107785,Service Equipment,Tools for The Workshop and Garage\Service Equipment,
107956,Insulation Strippers,Tools for Electricians\Insulation Strippers,
107790,Crimping Pliers and Sets,Tools for Electricians\Crimping Pliers and Sets,
107915,Tools for Air Conditioning and Cooling System,Tools for The Workshop and Garage\Specialized Tools for Vehicles\Tools for Air Conditioning and Cooling System,
107910,"Pullers for Pulleys, Hubs and Bearings","Tools for The Workshop and Garage\Specialized Tools for Vehicles\Chassis Repair Tools\Pullers for Pulleys, Hubs and Bearings",
107881,General Mechanical Tools,Tools for The Workshop and Garage\General Mechanical Tools,
107877,"Accessories, Equipment","Tools for The Workshop and Garage\Fuel Handling and Distribution\Accessories, Equipment",
107873,Barrel Pumps,Tools for The Workshop and Garage\Fuel Handling and Distribution\Barrel Pumps,
107875,Electric Fuel and Adblue Pumps,Tools for The Workshop and Garage\Fuel Handling and Distribution\Electric Fuel and Adblue Pumps,
107871,Mini Cpn Distributors,Tools for The Workshop and Garage\Fuel Handling and Distribution\Mini Cpn Distributors,
107870,Fuel Filling Guns,Tools for The Workshop and Garage\Fuel Handling and Distribution\Fuel Filling Guns,
107876,Counters,Tools for The Workshop and Garage\Fuel Handling and Distribution\Counters,
107874,Manual Fuel Pumps,Tools for The Workshop and Garage\Fuel Handling and Distribution\Manual Fuel Pumps,
105326,Pipe Threaders and Accessories,Tools for Plumbers\Pipe Threaders and Accessories,
107070,Tools for The Workshop and Garage,Tools for The Workshop and Garage,
107716,Electric and Manual Winches,Tools for The Workshop and Garage\Electric and Manual Winches,
107761,Electric Cable Winches,Construction and Renovation\Electric Cable Winches,
105357,Paint Guns and Accessories,Pneumatics\Paint Guns and Accessories,
107047,Tire Inflation Guns,Pneumatics\Tire Inflation Guns,
107782,Spiral Hoses,Pneumatics\Pneumatic Installation Accessories\Spiral Hoses,
107949,Pumps and Air Compressors,Tools for The Workshop and Garage\Service Equipment\Pumps and Air Compressors,
107920,Lubricators,Tools for The Workshop and Garage\Lubricators,
107778,Pneumatic Lubricators,Pneumatics\Pneumatic Lubricators,
107938,"Quick Connectors, Hose Connectors","Pneumatics\Pneumatic Installation Accessories\Quick Connectors, Hose Connectors",
107780,"Filters, Reducers and Lubricators","Pneumatics\Pneumatic Installation Accessories\Filters, Reducers and Lubricators",
105351,Blowing and Cleaning Guns,Pneumatics\Blowing and Cleaning Guns,
107800,Painting Guns and Units,Construction and Renovation\Painting Guns and Units,
107772,Foam Guns,Joining Tools\Foam Guns,
107911,Maintenance Guns,Tools for The Workshop and Garage\Specialized Tools for Vehicles\Chassis Repair Tools\Maintenance Guns,
105355,Sandblasting Guns,Pneumatics\Sandblasting Guns,
107836,Wood Cutters,Cutting Tools\Drilling\Wood Drills\Wood Cutters,
107821,Detail Grinders,Power Tools\Detail Grinders,
107039,Pneumatic Grinders and Accessories,Pneumatics\Pneumatic Grinders and Accessories,
107837,Sedniki,Cutting Tools\Drilling\Wood Drills\Sedniki,
107832,Drills for Holes for Hinges,Cutting Tools\Drilling\Wood Drills\Drills for Holes for Hinges,
107945,Jigsaw Blades,Cutting Tools\Saws and Saw Blades\Jigsaw Blades,
107817,Planers and Routers,Power Tools\Wood Processing\Planers and Routers,
107809,Knives and Blades,Cutting Tools\Knives and Blades,
107944,Saw Blades,Cutting Tools\Saws and Saw Blades\Saw Blades,
107953,Saws and Saws,Power Tools\Wood Processing\Saws and Saws,
107950,Tools for Wheels and Tires,Tools for The Workshop and Garage\Service Equipment\Tools for Wheels and Tires,
107957,Padlocks,Joining Tools\Padlocks,
107854,Sharpening Stones,Abrasive Materials\Sharpening Stones,
105340,Staplers,Joining Tools\Staplers,
105338,Riveters,Joining Tools\Riveters,
107776,Pneumatic Riveters,Pneumatics\Pneumatic Riveters,
107827,Shears,Cutting Tools\Shears,
105327,Pipe Cutters,Tools for Plumbers\Pipe Cutters,
